UniqueMouse,Cohort,InjuredGroup,Treatment,HourOfDay,CumulativeHour,PercentSleep
C3-10,C3,Sham,vehicle,6,55,77.89
C3-10,C3,Sham,vehicle,7,56,94.94
C3-10,C3,Sham,vehicle,8,57,39.83
C3-10,C3,Sham,vehicle,9,58,93.72
C3-10,C3,Sham,vehicle,10,59,43.83
C3-10,C3,Sham,vehicle,11,60,79.94
C3-10,C3,Sham,vehicle,12,61,69.28
C3-10,C3,Sham,vehicle,13,62,91.44
C3-10,C3,Sham,vehicle,14,63,27.44
C3-10,C3,Sham,vehicle,15,64,66.28
C3-10,C3,Sham,vehicle,16,65,69.44
C3-10,C3,Sham,vehicle,17,66,79.06
C3-10,C3,Sham,vehicle,18,67,32.5
C3-10,C3,Sham,vehicle,19,68,72.5
C3-10,C3,Sham,vehicle,20,69,26.78
C3-10,C3,Sham,vehicle,21,70,3.61
C3-10,C3,Sham,vehicle,22,71,0.39
C3-10,C3,Sham,vehicle,23,72,41.0
C3-10,C3,Sham,vehicle,0,73,12.5
C3-10,C3,Sham,vehicle,1,74,59.94
C3-10,C3,Sham,vehicle,2,75,24.22
C3-10,C3,Sham,vehicle,3,76,42.0
C3-10,C3,Sham,vehicle,4,77,6.61
C3-10,C3,Sham,vehicle,5,78,3.44
C3-10,C3,Sham,vehicle,6,79,89.61
C3-10,C3,Sham,vehicle,7,80,62.89
C3-10,C3,Sham,vehicle,8,81,41.94
C3-10,C3,Sham,vehicle,9,82,60.67
C3-10,C3,Sham,vehicle,10,83,86.33
C3-10,C3,Sham,vehicle,11,84,62.61
C3-10,C3,Sham,vehicle,12,85,36.72
C3-10,C3,Sham,vehicle,13,86,64.5
C3-10,C3,Sham,vehicle,14,87,85.33
C3-10,C3,Sham,vehicle,15,88,93.83
C3-10,C3,Sham,vehicle,16,89,68.56
C3-10,C3,Sham,vehicle,17,90,60.0
C3-10,C3,Sham,vehicle,18,91,53.89
C3-10,C3,Sham,vehicle,19,92,25.94
C3-10,C3,Sham,vehicle,20,93,2.0
C3-10,C3,Sham,vehicle,21,94,0.39
C3-10,C3,Sham,vehicle,22,95,34.61
C3-10,C3,Sham,vehicle,23,96,0.89
C3-10,C3,Sham,vehicle,0,97,61.06
C3-10,C3,Sham,vehicle,1,98,48.78
C3-10,C3,Sham,vehicle,2,99,58.78
C3-10,C3,Sham,vehicle,3,100,43.78
C3-10,C3,Sham,vehicle,4,101,13.89
C3-10,C3,Sham,vehicle,5,102,0.89
C3-10,C3,Sham,vehicle,6,103,45.17
C3-10,C3,Sham,vehicle,7,104,65.83
C3-10,C3,Sham,vehicle,8,105,96.11
C3-10,C3,Sham,vehicle,9,106,60.67
C3-10,C3,Sham,vehicle,10,107,61.33
C3-10,C3,Sham,vehicle,11,108,94.0
C3-10,C3,Sham,vehicle,12,109,38.5
C3-10,C3,Sham,vehicle,13,110,90.0
C3-10,C3,Sham,vehicle,14,111,55.56
C3-10,C3,Sham,vehicle,15,112,90.83
C3-10,C3,Sham,vehicle,16,113,70.78
C3-10,C3,Sham,vehicle,17,114,71.39
C3-10,C3,Sham,vehicle,18,115,12.5
C3-10,C3,Sham,vehicle,19,116,18.56
C3-10,C3,Sham,vehicle,20,117,5.39
C3-10,C3,Sham,vehicle,21,118,5.39
C3-10,C3,Sham,vehicle,22,119,3.39
C3-10,C3,Sham,vehicle,23,120,52.28
C3-10,C3,Sham,vehicle,0,121,16.11
C3-10,C3,Sham,vehicle,1,122,40.44
C3-10,C3,Sham,vehicle,2,123,67.22
C3-10,C3,Sham,vehicle,3,124,52.5
C3-10,C3,Sham,vehicle,4,125,4.5
C3-10,C3,Sham,vehicle,5,126,25.83
C3-10,C3,Sham,vehicle,6,127,93.83
C3-10,C3,Sham,vehicle,7,128,40.17
C3-10,C3,Sham,vehicle,8,129,95.83
C3-14,C3,mFPI,vehicle,15,16,6.56
C3-14,C3,mFPI,vehicle,16,17,30.94
C3-14,C3,mFPI,vehicle,17,18,70.67
C3-14,C3,mFPI,vehicle,18,19,55.89
C3-14,C3,mFPI,vehicle,19,20,28.83
C3-14,C3,mFPI,vehicle,20,21,50.06
C3-14,C3,mFPI,vehicle,21,22,43.94
C3-14,C3,mFPI,vehicle,22,23,7.89
C3-14,C3,mFPI,vehicle,23,24,26.67
C3-14,C3,mFPI,vehicle,0,25,7.83
C3-14,C3,mFPI,vehicle,1,26,12.06
C3-14,C3,mFPI,vehicle,2,27,73.22
C3-14,C3,mFPI,vehicle,3,28,25.11
C3-14,C3,mFPI,vehicle,4,29,34.22
C3-14,C3,mFPI,vehicle,5,30,84.94
C3-14,C3,mFPI,vehicle,6,31,49.89
C3-14,C3,mFPI,vehicle,7,32,80.56
C3-14,C3,mFPI,vehicle,8,33,87.0
C3-14,C3,mFPI,vehicle,9,34,21.94
C3-14,C3,mFPI,vehicle,10,35,91.39
C3-14,C3,mFPI,vehicle,11,36,43.28
C3-14,C3,mFPI,vehicle,12,37,92.94
C3-14,C3,mFPI,vehicle,13,38,82.94
C3-14,C3,mFPI,vehicle,14,39,54.39
C3-14,C3,mFPI,vehicle,15,40,78.0
C3-14,C3,mFPI,vehicle,16,41,47.94
C3-14,C3,mFPI,vehicle,17,42,41.17
C3-14,C3,mFPI,vehicle,18,43,58.39
C3-14,C3,mFPI,vehicle,19,44,53.89
C3-14,C3,mFPI,vehicle,20,45,27.83
C3-14,C3,mFPI,vehicle,21,46,19.44
C3-14,C3,mFPI,vehicle,22,47,1.5
C3-14,C3,mFPI,vehicle,23,48,6.11
C3-14,C3,mFPI,vehicle,0,49,33.33
C3-14,C3,mFPI,vehicle,1,50,55.67
C3-14,C3,mFPI,vehicle,2,51,6.44
C3-14,C3,mFPI,vehicle,3,52,4.11
C3-14,C3,mFPI,vehicle,4,53,57.28
C3-14,C3,mFPI,vehicle,5,54,56.61
C3-14,C3,mFPI,vehicle,6,55,71.33
C3-14,C3,mFPI,vehicle,7,56,69.5
C3-14,C3,mFPI,vehicle,8,57,83.44
C3-14,C3,mFPI,vehicle,9,58,59.22
C3-14,C3,mFPI,vehicle,10,59,54.0
C3-14,C3,mFPI,vehicle,11,60,68.83
C3-14,C3,mFPI,vehicle,12,61,73.78
C3-14,C3,mFPI,vehicle,13,62,77.72
C3-14,C3,mFPI,vehicle,14,63,84.78
C3-14,C3,mFPI,vehicle,15,64,47.61
C3-14,C3,mFPI,vehicle,16,65,52.5
C3-14,C3,mFPI,vehicle,17,66,73.44
C3-14,C3,mFPI,vehicle,18,67,56.67
C3-14,C3,mFPI,vehicle,19,68,58.72
C3-14,C3,mFPI,vehicle,20,69,5.0
C3-14,C3,mFPI,vehicle,21,70,3.83
C3-14,C3,mFPI,vehicle,22,71,6.11
C3-14,C3,mFPI,vehicle,23,72,21.89
C3-14,C3,mFPI,vehicle,0,73,44.78
C3-14,C3,mFPI,vehicle,1,74,24.39
C3-14,C3,mFPI,vehicle,2,75,55.89
C3-14,C3,mFPI,vehicle,3,76,7.44
C3-14,C3,mFPI,vehicle,4,77,46.61
C3-14,C3,mFPI,vehicle,5,78,31.78
C3-14,C3,mFPI,vehicle,6,79,83.17
C3-14,C3,mFPI,vehicle,7,80,56.28
C3-14,C3,mFPI,vehicle,8,81,68.22
C3-14,C3,mFPI,vehicle,9,82,58.89
C3-14,C3,mFPI,vehicle,10,83,94.22
C3-14,C3,mFPI,vehicle,11,84,51.72
C3-14,C3,mFPI,vehicle,12,85,88.94
C3-14,C3,mFPI,vehicle,13,86,48.89
C3-14,C3,mFPI,vehicle,14,87,85.44
C3-14,C3,mFPI,vehicle,15,88,75.61
C3-14,C3,mFPI,vehicle,16,89,73.94
C3-14,C3,mFPI,vehicle,17,90,67.06
C3-14,C3,mFPI,vehicle,18,91,54.11
C3-14,C3,mFPI,vehicle,19,92,3.5
C3-14,C3,mFPI,vehicle,20,93,0.33
C3-14,C3,mFPI,vehicle,21,94,8.28
C3-14,C3,mFPI,vehicle,22,95,28.56
C3-14,C3,mFPI,vehicle,23,96,70.17
C3-14,C3,mFPI,vehicle,0,97,26.17
C3-14,C3,mFPI,vehicle,1,98,59.89
C3-14,C3,mFPI,vehicle,2,99,77.17
C3-14,C3,mFPI,vehicle,3,100,9.78
C3-14,C3,mFPI,vehicle,4,101,56.94
C3-14,C3,mFPI,vehicle,5,102,3.61
C3-14,C3,mFPI,vehicle,6,103,85.83
C3-14,C3,mFPI,vehicle,7,104,63.06
C3-14,C3,mFPI,vehicle,8,105,84.06
C3-14,C3,mFPI,vehicle,9,106,72.06
C3-14,C3,mFPI,vehicle,10,107,72.94
C3-14,C3,mFPI,vehicle,11,108,55.5
C3-14,C3,mFPI,vehicle,12,109,76.72
C3-14,C3,mFPI,vehicle,13,110,89.5
C3-14,C3,mFPI,vehicle,14,111,73.67
C3-14,C3,mFPI,vehicle,15,112,87.61
C3-14,C3,mFPI,vehicle,16,113,90.78
C3-14,C3,mFPI,vehicle,17,114,67.0
C3-14,C3,mFPI,vehicle,18,115,32.72
C3-14,C3,mFPI,vehicle,19,116,9.44
C3-14,C3,mFPI,vehicle,20,117,9.5
C3-14,C3,mFPI,vehicle,21,118,24.61
C3-14,C3,mFPI,vehicle,22,119,65.72
C3-14,C3,mFPI,vehicle,23,120,27.39
C3-14,C3,mFPI,vehicle,0,121,74.67
C3-14,C3,mFPI,vehicle,1,122,90.22
C3-14,C3,mFPI,vehicle,2,123,39.72
C3-14,C3,mFPI,vehicle,3,124,40.72
C3-14,C3,mFPI,vehicle,4,125,29.83
C3-14,C3,mFPI,vehicle,5,126,11.11
C3-14,C3,mFPI,vehicle,6,127,76.06
C3-14,C3,mFPI,vehicle,7,128,77.33
C3-14,C3,mFPI,vehicle,8,129,79.11
C4-01,C4,mFPI,vehicle,15,16,48.83
C4-01,C4,mFPI,vehicle,16,17,64.17
C4-01,C4,mFPI,vehicle,17,18,81.39
C4-01,C4,mFPI,vehicle,18,19,37.61
C4-01,C4,mFPI,vehicle,19,20,94.17
C4-01,C4,mFPI,vehicle,20,21,45.72
C4-01,C4,mFPI,vehicle,21,22,32.44
C4-01,C4,mFPI,vehicle,22,23,4.67
C4-01,C4,mFPI,vehicle,23,24,6.94
C4-01,C4,mFPI,vehicle,0,25,31.67
C4-01,C4,mFPI,vehicle,1,26,68.94
C4-01,C4,mFPI,vehicle,2,27,41.56
C4-01,C4,mFPI,vehicle,3,28,35.56
C4-01,C4,mFPI,vehicle,4,29,61.44
C4-01,C4,mFPI,vehicle,5,30,80.5
C4-01,C4,mFPI,vehicle,6,31,16.33
C4-01,C4,mFPI,vehicle,7,32,71.5
C4-01,C4,mFPI,vehicle,8,33,48.11
C4-01,C4,mFPI,vehicle,9,34,41.39
C4-01,C4,mFPI,vehicle,10,35,66.11
C4-01,C4,mFPI,vehicle,11,36,51.78
C4-01,C4,mFPI,vehicle,12,37,64.72
C4-01,C4,mFPI,vehicle,13,38,55.83
C4-01,C4,mFPI,vehicle,14,39,66.72
C4-01,C4,mFPI,vehicle,15,40,56.39
C4-01,C4,mFPI,vehicle,16,41,50.22
C4-01,C4,mFPI,vehicle,17,42,69.61
C4-01,C4,mFPI,vehicle,18,43,71.61
C4-01,C4,mFPI,vehicle,19,44,56.83
C4-01,C4,mFPI,vehicle,20,45,36.33
C4-01,C4,mFPI,vehicle,21,46,9.72
C4-01,C4,mFPI,vehicle,22,47,2.61
C4-01,C4,mFPI,vehicle,23,48,9.11
C4-01,C4,mFPI,vehicle,0,49,5.83
C4-01,C4,mFPI,vehicle,1,50,39.89
C4-01,C4,mFPI,vehicle,2,51,65.22
C4-01,C4,mFPI,vehicle,3,52,33.83
C4-01,C4,mFPI,vehicle,4,53,33.78
C4-01,C4,mFPI,vehicle,5,54,36.78
C4-01,C4,mFPI,vehicle,6,55,64.11
C4-01,C4,mFPI,vehicle,7,56,70.83
C4-01,C4,mFPI,vehicle,8,57,69.11
C4-01,C4,mFPI,vehicle,9,58,61.44
C4-01,C4,mFPI,vehicle,10,59,58.44
C4-01,C4,mFPI,vehicle,11,60,62.94
C4-01,C4,mFPI,vehicle,12,61,62.67
C4-01,C4,mFPI,vehicle,13,62,68.22
C4-01,C4,mFPI,vehicle,14,63,79.89
C4-01,C4,mFPI,vehicle,15,64,57.67
C4-01,C4,mFPI,vehicle,16,65,85.06
C4-01,C4,mFPI,vehicle,17,66,44.67
C4-01,C4,mFPI,vehicle,18,67,56.33
C4-01,C4,mFPI,vehicle,19,68,26.83
C4-01,C4,mFPI,vehicle,20,69,34.83
C4-01,C4,mFPI,vehicle,21,70,3.72
C4-01,C4,mFPI,vehicle,22,71,6.06
C4-01,C4,mFPI,vehicle,23,72,14.11
C4-01,C4,mFPI,vehicle,0,73,81.39
C4-01,C4,mFPI,vehicle,1,74,6.28
C4-01,C4,mFPI,vehicle,2,75,55.44
C4-01,C4,mFPI,vehicle,3,76,39.17
C4-01,C4,mFPI,vehicle,4,77,12.61
C4-01,C4,mFPI,vehicle,5,78,42.89
C4-01,C4,mFPI,vehicle,6,79,32.89
C4-01,C4,mFPI,vehicle,7,80,87.67
C4-01,C4,mFPI,vehicle,8,81,62.5
C4-01,C4,mFPI,vehicle,9,82,86.22
C4-01,C4,mFPI,vehicle,10,83,43.44
C4-01,C4,mFPI,vehicle,11,84,79.5
C4-01,C4,mFPI,vehicle,12,85,71.61
C4-01,C4,mFPI,vehicle,13,86,55.72
C4-01,C4,mFPI,vehicle,14,87,84.06
C4-01,C4,mFPI,vehicle,15,88,74.72
C4-01,C4,mFPI,vehicle,16,89,33.06
C4-01,C4,mFPI,vehicle,17,90,61.56
C4-01,C4,mFPI,vehicle,18,91,52.11
C4-01,C4,mFPI,vehicle,19,92,49.06
C4-01,C4,mFPI,vehicle,20,93,5.78
C4-01,C4,mFPI,vehicle,21,94,5.28
C4-01,C4,mFPI,vehicle,22,95,45.11
C4-01,C4,mFPI,vehicle,23,96,37.22
C4-01,C4,mFPI,vehicle,0,97,9.83
C4-01,C4,mFPI,vehicle,1,98,48.78
C4-01,C4,mFPI,vehicle,2,99,48.78
C4-01,C4,mFPI,vehicle,3,100,48.83
C4-01,C4,mFPI,vehicle,4,101,10.89
C4-01,C4,mFPI,vehicle,5,102,55.28
C4-01,C4,mFPI,vehicle,6,103,37.83
C4-01,C4,mFPI,vehicle,7,104,75.22
C4-01,C4,mFPI,vehicle,8,105,69.56
C4-01,C4,mFPI,vehicle,9,106,50.33
C4-01,C4,mFPI,vehicle,10,107,67.06
C4-01,C4,mFPI,vehicle,11,108,64.61
C4-01,C4,mFPI,vehicle,12,109,81.44
C4-01,C4,mFPI,vehicle,13,110,41.44
C4-01,C4,mFPI,vehicle,14,111,80.78
C4-01,C4,mFPI,vehicle,15,112,64.11
C4-01,C4,mFPI,vehicle,16,113,85.72
C4-01,C4,mFPI,vehicle,17,114,36.94
C4-01,C4,mFPI,vehicle,18,115,59.28
C4-01,C4,mFPI,vehicle,19,116,28.06
C4-01,C4,mFPI,vehicle,20,117,18.22
C4-01,C4,mFPI,vehicle,21,118,31.22
C4-01,C4,mFPI,vehicle,22,119,7.28
C4-01,C4,mFPI,vehicle,23,120,48.44
C4-01,C4,mFPI,vehicle,0,121,15.5
C4-01,C4,mFPI,vehicle,1,122,45.67
C4-01,C4,mFPI,vehicle,2,123,31.33
C4-01,C4,mFPI,vehicle,3,124,32.17
C4-01,C4,mFPI,vehicle,4,125,24.78
C4-01,C4,mFPI,vehicle,5,126,6.11
C4-01,C4,mFPI,vehicle,6,127,64.61
C4-01,C4,mFPI,vehicle,7,128,75.22
C4-01,C4,mFPI,vehicle,8,129,76.78
C4-01,C4,mFPI,vehicle,9,130,68.61
C4-01,C4,mFPI,vehicle,10,131,65.0
C4-01,C4,mFPI,vehicle,11,132,52.33
C4-01,C4,mFPI,vehicle,12,133,82.22
C4-01,C4,mFPI,vehicle,13,134,68.61
C4-01,C4,mFPI,vehicle,14,135,54.72
C4-01,C4,mFPI,vehicle,15,136,67.83
C4-01,C4,mFPI,vehicle,16,137,76.0
C4-01,C4,mFPI,vehicle,17,138,47.28
C4-01,C4,mFPI,vehicle,18,139,47.94
C4-01,C4,mFPI,vehicle,19,140,29.06
C4-01,C4,mFPI,vehicle,20,141,57.5
C4-01,C4,mFPI,vehicle,21,142,35.17
C4-01,C4,mFPI,vehicle,22,143,31.28
C4-01,C4,mFPI,vehicle,23,144,7.22
C4-01,C4,mFPI,vehicle,0,145,52.61
C4-01,C4,mFPI,vehicle,1,146,46.0
C4-01,C4,mFPI,vehicle,2,147,50.44
C4-01,C4,mFPI,vehicle,3,148,32.11
C4-01,C4,mFPI,vehicle,4,149,27.67
C4-01,C4,mFPI,vehicle,5,150,13.39
C4-01,C4,mFPI,vehicle,6,151,61.89
C4-01,C4,mFPI,vehicle,7,152,65.67
C4-01,C4,mFPI,vehicle,8,153,62.72
C4-04,C4,Sham,vehicle,15,16,6.28
C4-04,C4,Sham,vehicle,16,17,61.28
C4-04,C4,Sham,vehicle,17,18,60.22
C4-04,C4,Sham,vehicle,18,19,54.28
C4-04,C4,Sham,vehicle,19,20,89.44
C4-04,C4,Sham,vehicle,20,21,45.67
C4-04,C4,Sham,vehicle,21,22,24.89
C4-04,C4,Sham,vehicle,22,23,8.44
C4-04,C4,Sham,vehicle,23,24,8.33
C4-04,C4,Sham,vehicle,0,25,46.5
C4-04,C4,Sham,vehicle,1,26,29.61
C4-04,C4,Sham,vehicle,2,27,26.06
C4-04,C4,Sham,vehicle,3,28,24.06
C4-04,C4,Sham,vehicle,4,29,19.44
C4-04,C4,Sham,vehicle,5,30,13.83
C4-04,C4,Sham,vehicle,6,31,77.5
C4-04,C4,Sham,vehicle,7,32,67.61
C4-04,C4,Sham,vehicle,8,33,70.44
C4-04,C4,Sham,vehicle,9,34,88.78
C4-04,C4,Sham,vehicle,10,35,45.67
C4-04,C4,Sham,vehicle,11,36,37.11
C4-04,C4,Sham,vehicle,12,37,86.56
C4-04,C4,Sham,vehicle,13,38,27.22
C4-04,C4,Sham,vehicle,14,39,70.67
C4-04,C4,Sham,vehicle,15,40,42.72
C4-04,C4,Sham,vehicle,16,41,41.11
C4-04,C4,Sham,vehicle,17,42,65.39
C4-04,C4,Sham,vehicle,18,43,60.0
C4-04,C4,Sham,vehicle,19,44,33.39
C4-04,C4,Sham,vehicle,20,45,35.83
C4-04,C4,Sham,vehicle,21,46,10.17
C4-04,C4,Sham,vehicle,22,47,9.94
C4-04,C4,Sham,vehicle,23,48,50.0
C4-04,C4,Sham,vehicle,0,49,82.89
C4-04,C4,Sham,vehicle,1,50,18.72
C4-04,C4,Sham,vehicle,2,51,66.22
C4-04,C4,Sham,vehicle,3,52,33.0
C4-04,C4,Sham,vehicle,4,53,10.89
C4-04,C4,Sham,vehicle,5,54,4.94
C4-04,C4,Sham,vehicle,6,55,48.56
C4-04,C4,Sham,vehicle,7,56,59.83
C4-04,C4,Sham,vehicle,8,57,52.39
C4-04,C4,Sham,vehicle,9,58,46.56
C4-04,C4,Sham,vehicle,10,59,51.56
C4-04,C4,Sham,vehicle,11,60,78.94
C4-04,C4,Sham,vehicle,12,61,63.17
C4-04,C4,Sham,vehicle,13,62,43.0
C4-04,C4,Sham,vehicle,14,63,91.5
C4-04,C4,Sham,vehicle,15,64,48.78
C4-04,C4,Sham,vehicle,16,65,67.44
C4-04,C4,Sham,vehicle,17,66,65.78
C4-04,C4,Sham,vehicle,18,67,57.39
C4-04,C4,Sham,vehicle,19,68,23.06
C4-04,C4,Sham,vehicle,20,69,9.17
C4-04,C4,Sham,vehicle,21,70,5.56
C4-04,C4,Sham,vehicle,22,71,3.89
C4-04,C4,Sham,vehicle,23,72,42.22
C4-04,C4,Sham,vehicle,0,73,50.0
C4-04,C4,Sham,vehicle,1,74,60.67
C4-04,C4,Sham,vehicle,2,75,54.5
C4-04,C4,Sham,vehicle,3,76,11.22
C4-04,C4,Sham,vehicle,4,77,13.33
C4-04,C4,Sham,vehicle,5,78,5.83
C4-04,C4,Sham,vehicle,6,79,75.83
C4-04,C4,Sham,vehicle,7,80,43.33
C4-04,C4,Sham,vehicle,8,81,62.94
C4-04,C4,Sham,vehicle,9,82,79.39
C4-04,C4,Sham,vehicle,10,83,72.89
C4-04,C4,Sham,vehicle,11,84,58.5
C4-04,C4,Sham,vehicle,12,85,82.28
C4-04,C4,Sham,vehicle,13,86,61.28
C4-04,C4,Sham,vehicle,14,87,82.22
C4-04,C4,Sham,vehicle,15,88,59.22
C4-04,C4,Sham,vehicle,16,89,52.5
C4-04,C4,Sham,vehicle,17,90,72.0
C4-04,C4,Sham,vehicle,18,91,43.67
C4-04,C4,Sham,vehicle,19,92,30.39
C4-04,C4,Sham,vehicle,20,93,1.72
C4-04,C4,Sham,vehicle,21,94,2.61
C4-04,C4,Sham,vehicle,22,95,1.11
C4-04,C4,Sham,vehicle,23,96,47.56
C4-04,C4,Sham,vehicle,0,97,21.0
C4-04,C4,Sham,vehicle,1,98,62.67
C4-04,C4,Sham,vehicle,2,99,45.06
C4-04,C4,Sham,vehicle,3,100,43.0
C4-04,C4,Sham,vehicle,4,101,5.61
C4-04,C4,Sham,vehicle,5,102,0.89
C4-04,C4,Sham,vehicle,6,103,66.5
C4-04,C4,Sham,vehicle,7,104,34.83
C4-04,C4,Sham,vehicle,8,105,70.11
C4-04,C4,Sham,vehicle,9,106,89.5
C4-04,C4,Sham,vehicle,10,107,69.67
C4-04,C4,Sham,vehicle,11,108,82.39
C4-04,C4,Sham,vehicle,12,109,69.0
C4-04,C4,Sham,vehicle,13,110,40.06
C4-04,C4,Sham,vehicle,14,111,51.28
C4-04,C4,Sham,vehicle,15,112,51.11
C4-04,C4,Sham,vehicle,16,113,87.11
C4-04,C4,Sham,vehicle,17,114,47.22
C4-04,C4,Sham,vehicle,18,115,42.72
C4-04,C4,Sham,vehicle,19,116,4.33
C4-04,C4,Sham,vehicle,20,117,7.0
C4-04,C4,Sham,vehicle,21,118,22.5
C4-04,C4,Sham,vehicle,22,119,25.44
C4-04,C4,Sham,vehicle,23,120,25.94
C4-04,C4,Sham,vehicle,0,121,48.44
C4-04,C4,Sham,vehicle,1,122,59.33
C4-04,C4,Sham,vehicle,2,123,23.78
C4-04,C4,Sham,vehicle,3,124,15.89
C4-04,C4,Sham,vehicle,4,125,17.78
C4-04,C4,Sham,vehicle,5,126,8.67
C4-04,C4,Sham,vehicle,6,127,39.72
C4-04,C4,Sham,vehicle,7,128,77.5
C4-04,C4,Sham,vehicle,8,129,87.94
C4-04,C4,Sham,vehicle,9,130,79.61
C4-04,C4,Sham,vehicle,10,131,51.28
C4-04,C4,Sham,vehicle,11,132,81.22
C4-04,C4,Sham,vehicle,12,133,83.17
C4-04,C4,Sham,vehicle,13,134,55.17
C4-04,C4,Sham,vehicle,14,135,81.44
C4-04,C4,Sham,vehicle,15,136,86.89
C4-04,C4,Sham,vehicle,16,137,41.5
C4-04,C4,Sham,vehicle,17,138,68.0
C4-04,C4,Sham,vehicle,18,139,33.17
C4-04,C4,Sham,vehicle,19,140,1.11
C4-04,C4,Sham,vehicle,20,141,27.67
C4-04,C4,Sham,vehicle,21,142,20.61
C4-04,C4,Sham,vehicle,22,143,1.83
C4-04,C4,Sham,vehicle,23,144,46.78
C4-04,C4,Sham,vehicle,0,145,30.33
C4-04,C4,Sham,vehicle,1,146,79.22
C4-04,C4,Sham,vehicle,2,147,33.39
C4-04,C4,Sham,vehicle,3,148,48.39
C4-04,C4,Sham,vehicle,4,149,3.89
C4-04,C4,Sham,vehicle,5,150,3.78
C4-04,C4,Sham,vehicle,6,151,49.28
C4-04,C4,Sham,vehicle,7,152,75.22
C4-04,C4,Sham,vehicle,8,153,90.44
C4-06,C4,mFPI,vehicle,15,16,57.06
C4-06,C4,mFPI,vehicle,16,17,71.56
C4-06,C4,mFPI,vehicle,17,18,87.67
C4-06,C4,mFPI,vehicle,18,19,14.0
C4-06,C4,mFPI,vehicle,19,20,80.28
C4-06,C4,mFPI,vehicle,20,21,16.89
C4-06,C4,mFPI,vehicle,21,22,26.94
C4-06,C4,mFPI,vehicle,22,23,4.44
C4-06,C4,mFPI,vehicle,23,24,14.94
C4-06,C4,mFPI,vehicle,0,25,6.44
C4-06,C4,mFPI,vehicle,1,26,39.72
C4-06,C4,mFPI,vehicle,2,27,11.17
C4-06,C4,mFPI,vehicle,3,28,2.83
C4-06,C4,mFPI,vehicle,4,29,41.44
C4-06,C4,mFPI,vehicle,5,30,8.72
C4-06,C4,mFPI,vehicle,6,31,83.5
C4-06,C4,mFPI,vehicle,7,32,92.33
C4-06,C4,mFPI,vehicle,8,33,18.33
C4-06,C4,mFPI,vehicle,9,34,96.0
C4-06,C4,mFPI,vehicle,10,35,6.67
C4-06,C4,mFPI,vehicle,11,36,91.5
C4-06,C4,mFPI,vehicle,12,37,38.0
C4-06,C4,mFPI,vehicle,13,38,72.78
C4-06,C4,mFPI,vehicle,14,39,44.5
C4-06,C4,mFPI,vehicle,15,40,78.94
C4-06,C4,mFPI,vehicle,16,41,44.5
C4-06,C4,mFPI,vehicle,17,42,65.0
C4-06,C4,mFPI,vehicle,18,43,49.17
C4-06,C4,mFPI,vehicle,19,44,55.83
C4-06,C4,mFPI,vehicle,20,45,18.61
C4-06,C4,mFPI,vehicle,21,46,3.5
C4-06,C4,mFPI,vehicle,22,47,7.06
C4-06,C4,mFPI,vehicle,23,48,32.17
C4-06,C4,mFPI,vehicle,0,49,29.17
C4-06,C4,mFPI,vehicle,1,50,49.33
C4-06,C4,mFPI,vehicle,2,51,22.56
C4-06,C4,mFPI,vehicle,3,52,18.67
C4-06,C4,mFPI,vehicle,4,53,31.06
C4-06,C4,mFPI,vehicle,5,54,32.83
C4-06,C4,mFPI,vehicle,6,55,75.94
C4-06,C4,mFPI,vehicle,7,56,64.06
C4-06,C4,mFPI,vehicle,8,57,36.78
C4-06,C4,mFPI,vehicle,9,58,87.56
C4-06,C4,mFPI,vehicle,10,59,33.11
C4-06,C4,mFPI,vehicle,11,60,72.89
C4-06,C4,mFPI,vehicle,12,61,40.0
C4-06,C4,mFPI,vehicle,13,62,66.61
C4-06,C4,mFPI,vehicle,14,63,93.72
C4-06,C4,mFPI,vehicle,15,64,52.0
C4-06,C4,mFPI,vehicle,16,65,82.17
C4-06,C4,mFPI,vehicle,17,66,69.67
C4-06,C4,mFPI,vehicle,18,67,14.11
C4-06,C4,mFPI,vehicle,19,68,49.11
C4-06,C4,mFPI,vehicle,20,69,21.78
C4-06,C4,mFPI,vehicle,21,70,2.39
C4-06,C4,mFPI,vehicle,22,71,1.17
C4-06,C4,mFPI,vehicle,23,72,30.56
C4-06,C4,mFPI,vehicle,0,73,35.78
C4-06,C4,mFPI,vehicle,1,74,61.28
C4-06,C4,mFPI,vehicle,2,75,23.67
C4-06,C4,mFPI,vehicle,3,76,58.06
C4-06,C4,mFPI,vehicle,4,77,2.61
C4-06,C4,mFPI,vehicle,5,78,11.67
C4-06,C4,mFPI,vehicle,6,79,73.17
C4-06,C4,mFPI,vehicle,7,80,62.11
C4-06,C4,mFPI,vehicle,8,81,75.06
C4-06,C4,mFPI,vehicle,9,82,59.11
C4-06,C4,mFPI,vehicle,10,83,53.78
C4-06,C4,mFPI,vehicle,11,84,69.56
C4-06,C4,mFPI,vehicle,12,85,59.11
C4-06,C4,mFPI,vehicle,13,86,74.94
C4-06,C4,mFPI,vehicle,14,87,50.72
C4-06,C4,mFPI,vehicle,15,88,73.83
C4-06,C4,mFPI,vehicle,16,89,93.83
C4-06,C4,mFPI,vehicle,17,90,51.61
C4-06,C4,mFPI,vehicle,18,91,45.83
C4-06,C4,mFPI,vehicle,19,92,29.44
C4-06,C4,mFPI,vehicle,20,93,1.11
C4-06,C4,mFPI,vehicle,21,94,1.83
